Card_ID,Edition_ID,Name,Super_Type,Primary_Type,CMC,Is_Hybrid,Generic_Mana,Is_X,Is_W,Is_U,Is_B,Is_R,Is_G,Is_C
1,1,_____,,Creature,2,False,1,False,False,True,False,False,False,False
2,2,_____ _____ _____ Trespasser,,Creature,2,False,1,False,False,True,False,False,False,False
3,2,_____ _____ Rocketship,,Artifact,4,False,4,False,False,False,False,False,False,False
4,2,_____ Balls of Fire,,Enchantment,4,False,3,False,False,False,False,True,False,False
5,2,_____ Bird Gets the Worm,,Creature,5,False,3,False,True,False,False,False,False,False
6,2,_____ Goblin,,Creature,3,False,2,False,False,False,False,True,False,False
7,2,_____-o-saurus,,Creature,6,False,4,False,False,False,False,False,True,False
8,2,"""Brims"" Barone, Midway Mobster",Legendary,Creature,5,False,3,False,True,False,True,False,False,False
9,2,"""Lifetime"" Pass Holder",,Creature,1,False,0,False,False,False,True,False,False,False
10,3,"""Rumors of My Death . . .""",,Enchantment,3,False,2,False,False,False,True,False,False,False
11,4,+2 Mace,,Artifact,2,False,1,False,True,False,False,False,False,False
12,5,1996 World Champion,,Summon,5,False,0,False,True,True,True,True,True,False
13,6,A Display of My Dark Power,,Scheme,0,False,0,False,False,False,False,False,False,False
14,7,A Girl and Her Dogs,,Creature,5,False,4,False,True,False,False,False,False,False
15,8,A Golden Opportunity,,Enchantment,3,False,2,False,False,False,False,False,True,False
16,2,A Good Day to Pie,,Instant,2,False,1,False,True,False,False,False,False,False
17,9,A Good Thing,,Enchantment,6,False,4,False,True,False,True,False,False,False
18,10,A Killer Among Us,,Enchantment,5,False,4,False,False,False,False,False,True,False
19,11,A Little Chat,,Instant,2,False,1,False,False,True,False,False,False,False
20,12,A Mysterious Creature,,Creature,0,False,0,False,False,False,False,False,False,False
21,13,A Premonition of Your Demise,,Scheme,0,False,0,False,False,False,False,False,False,False
22,2,A Real Handful,,Creature,4,False,3,False,False,False,True,False,False,False
23,14,A Realm Reborn,,Enchantment,6,False,4,False,False,False,False,False,True,False
24,15,A Reckoning Approaches,,Scheme,0,False,0,False,False,False,False,False,False,False
25,16,A Tale for the Ages,,Enchantment,2,False,1,False,True,False,False,False,False,False
26,17,"A-Baba Lysaga, Night Witch",Legendary,Creature,4,False,2,False,False,False,True,False,True,False
27,17,A-Baleful Beholder,,Creature,6,False,4,False,False,False,True,False,False,False
28,17,A-Blessed Hippogriff,,Creature,6,False,4,False,True,False,False,False,False,False
29,17,A-Tyr's Blessing,,Instant,0,False,0,False,False,False,False,False,False,False
30,17,A-Carnelian Orb of Dragonkind,,Artifact,3,False,2,False,False,False,False,True,False,False
