Card_ID,Subtype_ID
1,1
2,2
2,3
2,4
3,5
5,6
5,4
6,7
6,4
7,8
7,9
8,2
8,3
9,10
9,4
11,11
12,12
14,2
15,13
22,8
22,14
22,4
26,2
26,15
27,16
28,17
29,18
31,19
31,20
32,2
32,21
33,22
33,3
35,23
35,22
36,22
37,18
39,11
40,24
40,3
40,25
42,6
42,26
43,2
43,27
43,3
46,28
47,29
49,18
51,30
51,31
52,22
53,10
56,32
59,22
60,18
61,22
62,18
64,2
64,33
64,34
66,2
66,33
66,34
67,2
67,33
67,34
68,2
68,33
68,34
69,2
69,33
69,34
70,33
70,34
71,2
71,33
71,34
72,33
72,35
72,34
73,2
73,33
73,34
76,36
77,6
77,3
78,37
78,38
80,39
80,20
81,40
81,41
82,36
90,10
91,42
92,43
93,2
93,21
94,2
94,44
95,2
95,44
96,2
96,45
97,2
97,41
98,46
99,47
99,48
100,2
100,27
100,49
101,2
101,39
102,39
102,50
104,51
105,52
106,53
111,54
111,50
113,55
114,50
115,50
116,27
116,50
117,23
118,56
118,57
119,46
123,58
127,33
127,41
128,59
128,21
129,60
135,61
135,62
137,33
139,2
140,35
142,63
142,21
145,46
147,64
147,65
148,50
149,50
150,52
150,15
151,50
152,2
152,25
153,66
154,50
155,52
156,67
160,2
160,21
161,68
161,49
163,68
163,21
164,2
164,69
165,2
165,41
166,2
166,41
168,46
169,6
169,69
171,36
172,70
173,71
174,2
174,72
175,2
175,72
176,2
176,72
177,73
178,2
178,41
179,2
179,21
180,2
180,72
182,74
188,75
189,76
189,72
190,18
191,2
191,77
192,27
192,20
193,78
194,2
194,77
195,11
196,36
198,10
198,79
200,10
201,10
201,41
202,35
203,2
203,49
204,46
204,80
205,6
205,81
206,2
206,82
207,11
208,10
208,72
210,2
210,25
212,83
213,22
215,84
216,85
218,86
218,87
220,47
220,2
221,88
221,21
222,2
222,21
223,89
224,2
224,44
225,2
225,21
229,90
231,46
232,11
232,91
233,2
233,3
234,39
235,2
235,45
243,92
243,1
246,93
248,35
249,88
249,69
251,78
252,19
253,11
254,39
255,62
255,38
256,92
256,20
258,69
259,32
260,94
262,95
263,7
263,41
265,2
265,77
266,2
266,77
267,2
267,72
269,2
269,25
269,96
270,2
270,69
271,8
272,2
272,96
273,2
273,96
275,94
276,63
277,97
278,63
281,98
281,99
282,5
283,2
283,77
285,2
285,26
286,100
286,72
287,22
288,2
288,77
289,2
289,69
289,81
290,101
291,10
291,50
295,5
296,102
298,11
302,27
302,49
303,103
303,72
304,94
305,78
307,2
307,69
309,11
311,6
311,72
312,104
314,33
316,2
316,105
319,2
319,69
320,2
320,26
321,6
321,69
323,71
325,46
327,106
327,69
328,5
329,107
329,108
331,109
331,110
332,6
332,69
333,68
333,31
334,6
334,72
335,111
336,2
336,21
337,2
337,21
339,2
339,21
339,20
340,23
340,38
341,112
341,48
342,2
342,99
343,2
343,69
344,2
344,26
345,11
346,113
348,6
348,78
349,2
349,72
352,2
352,72
354,2
354,26
355,95
360,27
360,26
360,20
362,106
362,26
363,46
364,74
366,2
366,26
370,78
377,114
377,26
379,114
379,3
382,46
384,46
385,2
385,3
386,92
386,3
389,115
389,3
390,74
393,106
393,81
396,116
397,1
399,95
400,106
400,26
402,23
403,5
405,117
406,6
407,63
408,118
409,2
409,3
411,62
413,11
414,84
415,68
416,2
416,69
416,34
417,38
419,2
419,119
420,119
422,7
422,26
426,27
426,120
428,2
428,49
428,34
433,62
433,3
434,62
434,25
435,2
435,15
436,2
436,77
438,23
439,35
439,69
440,74
441,121
441,21
442,122
442,120
443,48
443,41
444,78
445,10
446,2
446,3
447,2
447,3
448,2
448,123
449,2
449,3
450,2
450,124
451,2
451,77
452,2
452,25
453,89
454,89
455,2
455,3
456,125
456,69
456,126
457,127
460,46
464,109
469,46
470,128
471,39
473,9
479,46
480,35
480,69
481,35
481,120
482,2
482,69
483,129
484,2
484,41
485,98
485,41
486,10
486,98
486,41
487,51
487,50
492,68
492,31
493,68
493,69
494,68
494,81
495,68
495,41
496,68
496,49
497,68
497,81
498,68
498,81
499,46
500,23
501,2
501,69
503,2
503,44
504,5
505,23
506,23
508,36
510,36
512,106
512,81
513,6
514,2
514,21
517,46
518,2
518,41
519,130
520,13
521,131
522,131
523,131
524,131
525,131
526,131
527,131
528,131
529,63
529,41
530,131
531,131
532,131
533,131
534,131
535,131
537,63
537,69
538,27
538,69
543,63
543,69
544,63
544,21
546,2
546,123
547,132
548,6
548,9
549,133
549,41
550,133
