Edition_Name,Edition_ID
Unhinged,1
Unfinity,2
Unstable,3
Adventures in the Forgotten Realms,4
Celebration Cards,5
Archenemy,6
Mystery Booster 2 Playtest Cards,7
Alchemy: Wilds of Eldraine,8
Mystery Booster Playtest Cards 2021,9
Murders at Karlov Manor,10
Streets of New Capenna,11
Extras: Assassin's Creed,12
Duskmourn: House of Horror Commander,13
Final Fantasy,14
Archenemy: Nicol Bolas,15
Wilds of Eldraine,16
Alchemy Horizons: Baldur's Gate,17
The Lord of the Rings: Tales of Middle-earth,18
Avatar: The Last Airbender Jumpstart Front Cards,19
Avatar: The Last Airbender Eternal,20
Avatar: The Last Airbender Beginner Box Front Cards,21
Avatar: The Last Airbender,22
Commander Legends: Battle for Baldur's Gate,23
Aetherdrift,24
"Warhammer 40,000",25
Tempest,26
Eldritch Moon,27
Innistrad: Midnight Hunt,28
Duskmourn: House of Horror,29
Odyssey,30
Hour of Devastation,31
Innistrad,32
Fifth Edition,33
Homelands,34
Magic Origins,35
Secret Lair Drop Series,36
Classic Sixth Edition,37
"Warhammer 40,000 Surge Foils",38
Shadows over Innistrad,39
Weatherlight,40
Theros,41
Modern Horizons 2 Timeshifts,42
Extras: Hour of Devastation,43
Core Set 2019,44
Prophecy,45
Modern Horizons,46
Fourth Edition,47
Khans of Tarkir,48
Kaldheim Commander,49
Urza's Legacy,50
Jumpstart Front Cards,51
Foundations,52
Outlaws of Thunder Junction,53
Mystery Booster 2,54
Urza's Saga,55
Guildpact,56
Ravnica Allegiance,57
Alchemy: Innistrad,58
Kaldheim,59
Conflux,60
Assassin's Creed,61
Unsanctioned,62
Modern Horizons 3,63
Commander Masters,64
Oath of the Gatewatch,65
Chronicles,66
The Lost Caverns of Ixalan,67
Scars of Mirrodin,68
Fifth Dawn,69
Avacyn Restored,70
Seventh Edition,71
Portal Second Age,72
Worldwake,73
Eighth Edition,74
Fate Reforged,75
Tarkir: Dragonstorm,76
Strixhaven: School of Mages,77
Planechase Anthology Planes,78
Dominaria,79
The List,80
Dominaria United,81
Bloomburrow Commander,82
Magic 2014 Core Set,83
Urza's Destiny,84
Tenth Edition,85
Time Spiral,86
Torment,87
Scourge,88
Kamigawa: Neon Dynasty Commander,89
Throne of Eldraine,90
Kaladesh,91
Mirrodin Besieged,92
Masters 25,93
Onslaught,94
Aetherdrift Commander,95
Magic 2015 Core Set,96
Alchemy: Bloomburrow,97
Doctor Who,98
Legends,99
Dragons of Tarkir,100
Mirage,101
Magic 2013,102
Stronghold,103
Theros Beyond Death,104
Magic 2010,105
Born of the Gods,106
Fallout,107
Kamigawa: Neon Dynasty,108
Zendikar Rising,109
New Phyrexia,110
Commander 2013,111
Core Set 2020,112
Dominaria United Commander,113
Shards of Alara,114
Edge of Eternities,115
Saviors of Kamigawa,116
Ixalan,117
Ikoria: Lair of Behemoths,118
Gatecrash,119
Phyrexia: All Will Be One,120
Tarkir: Dragonstorm Commander,121
Ice Age,122
Commander 2018,123
Coldsnap,124
Lorwyn,125
Invasion,126
Core Set 2021,127
The Lost Caverns of Ixalan Commander,128
