Name,Edition,Price,Type,Mana Cost
_____,Cheapest Recent Printing - Unhinged,0.48,Creature - Shapeshifter,sym_1 sym_u
_____ _____ _____ Trespasser,Cheapest Recent Printing - Unfinity,0.04,Creature - Human Rogue Guest,sym_1 sym_u
_____ _____ Rocketship,Cheapest Recent Printing - Unfinity,0.04,Artifact - Vehicle,sym_4
_____ Balls of Fire,Cheapest Recent Printing - Unfinity,0.04,Enchantment,sym_3 sym_r
_____ Bird Gets the Worm,Cheapest Recent Printing - Unfinity,0.04,Creature - Bird Guest,sym_3 sym_w sym_w
_____ Goblin,Cheapest Recent Printing - Unfinity,0.27,Creature - Goblin Guest,sym_2 sym_r
_____-o-saurus,Cheapest Recent Printing - Unfinity,0.05,Creature - Alien Dinosaur,sym_4 sym_g sym_g
"""Brims"" Barone, Midway Mobster",Cheapest Recent Printing - Unfinity,0.07,Legendary Creature - Human Rogue,sym_3 sym_w sym_b
"""Lifetime"" Pass Holder",Cheapest Recent Printing - Unfinity,0.22,Creature - Zombie Guest,sym_b
"""Rumors of My Death . . .""",Cheapest Recent Printing - Unstable,0.10,Enchantment,sym_2 sym_b
+2 Mace,Cheapest Recent Printing - Adventures in the Forgotten Realms,0.05,Artifact - Equipment,sym_1 sym_w
1996 World Champion,Cheapest Recent Printing - Celebration Cards,N/A,Summon - Legend,sym_w sym_u sym_b sym_r sym_g
A Display of My Dark Power,Cheapest Recent Printing - Archenemy,22.95,Scheme,
A Girl and Her Dogs,Cheapest Recent Printing - Mystery Booster 2 Playtest Cards,0.42,Creature - Human,sym_4 sym_w
A Golden Opportunity,Cheapest Recent Printing - Alchemy: Wilds of Eldraine,N/A,Enchantment - Saga,sym_2 sym_g
A Good Day to Pie,Cheapest Recent Printing - Unfinity,0.04,Instant,sym_1 sym_w
A Good Thing,Cheapest Recent Printing - Mystery Booster Playtest Cards 2021,0.28,Enchantment,sym_4 sym_w sym_b
A Killer Among Us,Cheapest Recent Printing - Murders at Karlov Manor,0.06,Enchantment,sym_4 sym_g
A Little Chat,Cheapest Recent Printing - Streets of New Capenna,0.03,Instant,sym_1 sym_u
A Mysterious Creature,Cheapest Recent Printing - Extras: Assassin's Creed,0.09,Creature,
A Premonition of Your Demise,Cheapest Recent Printing - Duskmourn: House of Horror Commander,0.19,Scheme,
A Real Handful,Cheapest Recent Printing - Unfinity,0.04,Creature - Alien Child Guest,sym_3 sym_b
A Realm Reborn,Cheapest Recent Printing - Final Fantasy,0.24,Enchantment,sym_4 sym_g sym_g
A Reckoning Approaches,Cheapest Recent Printing - Archenemy: Nicol Bolas,2.81,Scheme,
A Tale for the Ages,Cheapest Recent Printing - Wilds of Eldraine,0.16,Enchantment,sym_1 sym_w
